budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
21000000,115.0,6.3,48.0,3.030309,1995,2,Comedy,Whoopi Goldberg,Herbert Ross,Regency Enterprises,Winter,182608.69565217392,24.518467878096946,16.860033043306743,1.393843047957184,23450000.0,0.11666666666666667
27000,92.0,7.4,769.0,10.513367,1994,9,Comedy,Brian O'Halloran,Kevin Smith,Miramax Films,Fall,293.4782608695652,49.183289809873195,10.203629181337648,2.4435087081920654,3151130.0,50.0
25000000,97.0,6.3,184.0,7.438934,1994,10,Romance,Johnny Depp,Jeremy Leven,New Line Cinema,Fall,257731.95876288658,32.88824169799344,17.034386422832473,2.1328559973133943,22200000.0,-0.112
55000000,123.0,5.9,217.0,11.812244,1994,12,Drama,Michael Douglas,Barry Levinson,Warner Bros.,Winter,447154.47154471546,31.768520870455625,17.822843761378564,2.5504012762112094,214015089.0,2.891183436363636
16000000,107.0,6.5,1894.0,9.844558,1994,12,Comedy,Jim Carrey,Peter Farrelly,New Line Cinema,Winter,149532.71028037384,49.055331763857424,16.588099342704055,2.383663387339479,247275374.0,14.454710875
18000000,127.0,7.3,639.0,11.720358,1994,9,Comedy,Johnny Depp,Tim Burton,Touchstone Pictures,Fall,141732.28346456692,47.168717687382134,16.705882371415992,2.5432037021700107,5887457.0,-0.6729190555555555
15000000,103.0,5.0,24.0,8.182165,1995,3,Drama,Jeff Goldblum,Brett Leonard,TriStar Pictures,Spring,145631.06796116504,16.094379124341003,16.52356082573315,2.217263015606762,12201255.0,-0.186583
700000,171.0,7.7,91.0,9.47666,1994,9,Documentary,William Gates,Steve James,Fine Line Features,Fall,4093.5672514619882,34.817772043277614,13.45883704259595,2.349149925806452,7830611.0,10.186587142857142
5000000,99.0,6.9,299.0,9.438042,1994,9,Drama,Melanie Lynskey,Peter Jackson,WingNut Films,Fall,50505.0505050505,39.35609907512779,15.424948670398354,2.345457016972467,3049135.0,-0.390173
10500000,113.0,6.0,17.0,2.688562,1995,1,Comedy,Sinbad,Randall Miller,Caravan Pictures,Winter,92920.35398230089,17.342230547376985,16.166885910365842,1.305236680201899,26325256.0,1.5071672380952381
60000000,123.0,7.2,1558.0,11.970205,1994,11,Horror,Brad Pitt,Neil Jordan,Geffen Pictures,Fall,487804.8780487805,52.932959057215996,17.909855136853043,2.562654803908918,223664608.0,2.7277434666666664
14000000,139.0,5.2,10.0,1.596058,1995,3,Drama,Nick Nolte,James Ivory,Merchant Ivory Productions,Spring,100719.42446043165,12.469055418551529,16.454567959008102,0.9539941406569783,2474000.0,-0.8232857142857143
60000000,109.0,4.7,381.0,6.710215,1994,11,Comedy,Arnold Schwarzenegger,Ivan Reitman,Universal Pictures,Fall,550458.7155963302,27.943476860450904,17.909855136853043,2.042546073048951,37000000.0,-0.38333333333333336
